,Book-Title,Book-Price,Book-Rating,Page-Found
0,A Light in the Attic,51.77,3,1
1,Tipping the Velvet,53.74,1,1
2,Soumission,50.1,1,1
3,Sharp Objects,47.82,4,1
4,Sapiens: A Brief History of Humankind,54.23,5,1
5,The Requiem Red,22.65,1,1
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,1
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,1
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,1
9,The Black Maria,52.15,1,1
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,1
11,Shakespeare's Sonnets,20.66,4,1
12,Set Me Free,17.46,5,1
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,1
14,Rip it Up and Start Again,35.02,5,1
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,1
16,Olio,23.88,1,1
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1
18,Libertarianism for Beginners,51.33,2,1
19,It's Only the Himalayas,45.17,2,1
20,In Her Wake,12.84,1,2
21,How Music Works,37.32,2,2
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,2
23,Chase Me (Paris Nights #2),25.27,5,2
24,Black Dust,34.53,5,2
25,Birdsong: A Story in Pictures,54.64,3,2
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,2
27,Aladdin and His Wonderful Lamp,53.13,3,2
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,2
29,Wall and Piece,44.18,4,2
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,2
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,2
32,The Elephant Tree,23.82,5,2
33,The Bear and the Piano,36.89,1,2
34,Sophie's World,15.94,5,2
35,Penny Maybe,33.29,3,2
36,Maude (1883-1993):She Grew Up with the country,18.02,2,2
37,"In a Dark, Dark Wood",19.63,1,2
38,Behind Closed Doors,52.22,4,2
39,You can't bury them all: Poems,33.63,2,2
40,Slow States of Collapse: Poems,57.31,3,3
41,Reasons to Stay Alive,26.41,2,3
42,Private Paris (Private #10),47.61,5,3
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,3
44,Without Borders (Wanderlove #1),45.07,2,3
45,When We Collided,31.77,1,3
46,"We Love You, Charlie Freeman",50.27,5,3
47,Untitled Collection: Sabbath Poems 2014,14.27,4,3
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,3
49,Unicorn Tracks,18.78,3,3
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,3
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,3
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,3
53,This One Summer,19.49,4,3
54,Thirst,17.27,5,3
55,The Torch Is Passed: A Harding Family Story,19.09,1,3
56,The Secret of Dreadwillow Carse,56.13,1,3
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,3
58,The Past Never Ends,56.5,4,3
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,3
60,The Nameless City (The Nameless City #1),38.16,4,4
61,The Murder That Never Was (Forensic Instincts #5),54.11,3,4
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,4
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,4
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,4
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,4
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,4
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,4
68,The Death of Humanity: and the Case for Life,58.11,4,4
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,4
70,The Art Forger,40.76,3,4
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,4
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,4
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,4
74,Soul Reader,39.58,2,4
75,Security,39.25,2,4
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,4
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,4
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,4
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,4
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,5
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,5
82,"Pop Gun War, Volume 1: Gift",18.97,1,5
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,5
84,Patience,10.16,3,5
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,5
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,5
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,5
88,On a Midnight Clear,14.07,3,5
89,Obsidian (Lux #1),14.86,2,5
90,My Paris Kitchen: Recipes and Stories,33.37,2,5
91,Masks and Shadows,56.4,2,5
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,5
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,5
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,5
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,5
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,5
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,5
98,Join,35.67,5,5
99,In the Country We Love: My Family Divided,22.0,4,5
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,6
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,6
102,I am a Hero Omnibus Volume 1,54.63,3,6
103,How to Be Miserable: 40 Strategies You Already Use,46.03,1,6
104,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,6
105,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,6
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,6
107,First and First (Five Boroughs #3),15.97,4,6
108,Fifty Shades Darker (Fifty Shades #2),21.96,1,6
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,6
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,6
111,Danganronpa Volume 1,51.99,4,6
112,Crown of Midnight (Throne of Glass #2),43.29,3,6
113,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,6
114,Camp Midnight,17.08,4,6
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,6
116,Burning,28.81,3,6
117,Bossypants,49.46,2,6
